codigo_manzana,prom_edad,desv_edad,min_edad,max_edad,educacion_mas_alta,estrato,porcentaje_internet,porcentaje_luz
5000110000000002010615,32.6,20.3,7.0,82.0,3.0,1.0,0.22,0.67
5000110000000002010619,31.2,21.0,2.0,77.0,4.0,1.5,0.21,0.86
5000110000000002010620,39.1,19.9,2.0,77.0,3.0,1.1,0.1,0.8
5000110000000002010622,30.0,18.1,2.0,87.0,3.0,1.0,0.06,0.8
5000110000000002010702,30.0,24.1,2.0,97.0,4.0,1.0,0.3,0.9
5000110000000002010703,30.4,19.6,2.0,82.0,4.0,1.1,0.18,1.0
5000110000000002010704,27.4,18.4,2.0,67.0,3.0,1.1,0.25,0.94
5000110000000002010705,33.8,22.9,2.0,77.0,2.0,1.1,0.2,0.9
5000110000000002010714,30.2,22.5,2.0,92.0,3.0,1.0,0.11,0.89
5000110000000002010715,31.7,23.3,2.0,82.0,3.0,1.0,0.14,1.0
5000110000000002010716,42.3,20.9,12.0,77.0,3.0,1.0,0.5,1.0
5000110000000002010717,23.4,15.3,2.0,57.0,3.0,1.0,0.22,0.67
5000110000000002010718,30.5,20.7,2.0,87.0,3.0,1.3,0.37,0.95
5000110000000002010719,30.3,16.8,7.0,72.0,3.0,1.0,0.29,0.86
5000110000000002010721,24.8,15.1,7.0,52.0,2.0,1.0,0.5,1.0
5000110000000002020101,38.7,20.9,2.0,87.0,4.0,2.2,0.3,0.81
5000110000000002020102,37.8,22.9,2.0,87.0,3.0,2.6,0.33,0.61
5000110000000002020103,37.1,20.7,2.0,82.0,3.0,2.9,0.21,0.88
